,brand,model_year,accident,price_usd,mileage_num,has_clean_title,is_sport,is_premium,is_4WD_AWD,engine_hp,engine_displacement,fuel_type_E85 Flex Fuel,fuel_type_Electric,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,transmission_type_CVT,transmission_type_Manual,transmission_type_a/t,int_col_Black,int_col_Blue,int_col_Brown,int_col_Gray,int_col_Orange,int_col_Red,int_col_White,int_col_nan,ext_col_Black,ext_col_Blue,ext_col_Brown,ext_col_Gray,ext_col_Orange,ext_col_Red,ext_col_White,ext_col_nan
1189,0.35656000760268025,0.24000000000000002,0.0,0.37067946497213855,0.36527537663620646,1.0,0.0,0.0,0.0,0.47846889952153104,0.6708860759493671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,0.4555503761381958,0.04,0.0,0.5095790646378664,0.029389972832798223,1.0,0.0,0.0,0.0,0.5645933014354066,0.4177215189873418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2971,0.6527266943351204,0.1,0.0,0.8562361751730496,0.021993084712274635,0.0,0.0,0.0,0.0,1.0,0.4936708860759494,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1109,0.19667323626198563,0.12,0.0,0.4327190939386558,0.22361323783650286,0.0,0.0,0.0,0.0,0.3444976076555024,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3440,0.15940257433763882,0.28,1.0,0.22296807948962027,0.42460854531983205,1.0,0.0,0.0,0.0,0.26794258373205737,0.4683544303797469,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.3103723043425406,0.22,1.0,0.27649243326951667,0.12571005186465795,1.0,0.0,0.0,0.0,0.4401913875598086,0.4683544303797469,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2903,0.3184098860990714,0.12,0.0,0.5361588194581295,0.15909360335885406,1.0,0.0,0.0,0.0,0.7272727272727273,0.44303797468354433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2548,0.8419784989163821,0.07999999999999999,0.0,0.5698388405881409,0.07171153371202767,0.0,0.0,0.0,0.0,0.5550239234449761,0.379746835443038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3854,0.35656000760268025,0.07999999999999999,1.0,0.6221594377307558,0.021916522598172387,1.0,0.0,0.0,0.0,0.8038277511961722,0.7848101265822786,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1816,0.3823548690805296,0.16,0.0,0.40453845554164247,0.175796492961225,1.0,0.0,1.0,0.0,0.5033492822966507,0.379746835443038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2453,0.26578486089998243,0.04,0.0,0.5120263862013135,0.029513460113608298,0.0,0.0,1.0,0.0,0.4114832535885168,0.4556962025316456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
889,0.3491101847518685,0.18,0.0,0.3863344029614204,0.13972585823660164,1.0,0.0,0.0,0.0,0.4842105263157894,0.4556962025316456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
247,0.5219354488039203,0.1,0.0,0.5554243322759758,0.04865398863917017,1.0,0.0,0.0,0.0,0.5588516746411483,0.379746835443038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1433,0.2190421811292289,0.5,1.0,0.09439209049025932,0.21242529019510992,1.0,0.0,0.0,0.0,0.12057416267942586,0.2784810126582279,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3874,0.36097260924911456,0.1,0.0,0.4327255837221895,0.1835366757224006,1.0,0.0,0.0,0.0,0.4593301435406698,0.4556962025316456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2399,0.36797233365735416,0.04,0.0,0.5585257113227502,0.027508026673252656,0.0,1.0,0.0,0.0,0.44210526315789467,0.44303797468354433,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3040,0.3383261833928337,0.26,0.0,0.25371008761599256,0.48258829340577925,1.0,0.0,0.0,0.0,0.4593301435406698,0.6835443037974684,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3350,0.36679645846244036,0.04,0.0,0.6345519741238723,0.007552482094344283,1.0,0.0,0.0,0.0,0.8038277511961722,0.7848101265822786,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3327,0.43160368202796384,0.060000000000000005,0.0,0.5053704063010227,0.03136576932575945,1.0,0.0,0.0,0.0,0.3406698564593301,0.25316455696202533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,0.5835360188899834,0.22,0.0,0.42610783364362925,0.490906396641146,1.0,0.0,0.0,0.0,0.5358851674641149,0.8481012658227849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2003,0.843417085740259,0.16,0.0,0.546402535713779,0.02551494196097802,1.0,0.0,0.0,0.0,0.39234449760765544,0.3417721518987342,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
650,0.36797233365735416,0.18,1.0,0.35599822474948595,0.2491973326747345,1.0,0.0,1.0,0.0,0.12248803827751195,0.2278481012658228,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3441,0.26578486089998243,0.24000000000000002,0.0,0.40833030124530345,0.1411138552729069,1.0,1.0,0.0,0.0,0.4114832535885168,0.4556962025316456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1352,0.5219354488039203,0.26,0.0,0.4677556654947683,0.29612249938256363,1.0,0.0,0.0,0.0,0.2258373205741627,0.379746835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
